host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,Wifi,tv,Internet,Kitchen,Heating,Washer,Refrigerator,Dishwasher,Dryer,Microwave,Stove
within a few hours,0,0,0,Manhattan,Entire home/apt,1,1,1,150,1,1,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,3,76,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,0,1,1,60,1,0,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1.5,2,2,175,1,1,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Manhattan,Private room,1,1,1,79,1,1,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Manhattan,Private room,1,1,1,75,1,0,0,0,1,0,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1.5,1,0,92,1,0,0,0,1,1,0,1,1,1,0
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,1,1,109,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,65,1,0,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,1,1,1,62,1,0,0,1,1,0,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,196,1,1,0,1,1,1,1,0,1,1,0
Unknown,0,0,0,Manhattan,Private room,1,2,2,96,1,1,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,299,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,4,120,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,150,1,1,0,1,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,1,1,175,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,55,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,2,70,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Private room,1,1,0,92,1,0,0,1,1,1,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,2,150,1,0,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Manhattan,Private room,1,1,1,40,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,250,1,1,0,1,1,0,0,0,0,0,0
within a few hours,0,0,0,Queens,Private room,1,1,2,130,1,0,0,0,1,0,0,0,1,1,0
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,99,1,0,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Queens,Private room,1,1,2,75,1,1,0,1,1,0,0,0,0,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,80,1,0,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Brooklyn,Private room,1,1,1,81,1,0,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,0,198,1,1,0,1,1,0,1,0,1,0,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,2,99,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,200,1,1,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,2,170,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,80,1,0,0,1,1,0,1,0,0,0,1
within a day,0,0,0,Manhattan,Entire home/apt,2,2,2,375,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,2,4,206,1,1,0,1,1,1,1,1,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,2,4,4,140,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Brooklyn,Private room,1,1,2,55,1,0,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Manhattan,Private room,1,1,1,62,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,314,1,0,0,1,1,0,0,0,1,0,1
within a day,0,0,0,Manhattan,Private room,1,1,1,74,1,0,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Manhattan,Entire home/apt,2,4,6,250,1,1,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,250,1,1,0,1,1,1,1,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,2,2,190,1,0,0,1,1,0,1,0,1,0,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,65,1,1,0,0,1,1,1,0,1,1,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,95,1,1,0,1,1,1,1,1,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,176,1,1,0,1,1,0,1,0,1,1,1
a few days or more,0,0,0,Queens,Private room,1,1,1,70,1,1,0,1,1,1,0,0,1,0,0
a few days or more,0,0,0,Queens,Private room,1,1,0,55,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Manhattan,Private room,1.5,1,1,150,1,1,0,1,1,1,0,0,1,1,0
Unknown,0,0,0,Brooklyn,Private room,1,2,2,145,1,0,0,1,1,1,1,0,1,1,1
Unknown,0,0,0,Manhattan,Private room,1,1,1,95,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Manhattan,Entire home/apt,1,2,2,110,1,1,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Brooklyn,Private room,2,1,2,110,1,1,0,1,1,1,1,0,1,1,1
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,1,1,105,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Private room,1,1,1,85,1,0,0,1,1,1,1,0,1,0,1
within a few hours,0,0,0,Brooklyn,Private room,1.5,1,1,85,1,0,0,1,1,0,0,0,1,0,0
